Nombre,Club,Minutos,Goles,Asistencias,Amarillas,Rojas
Wilfrid Kaptoum,Betis,194,0,0,1,0
Kenedy,Getafe,586,1,3,2,0
Kike,Eibar,1767,5,1,2,0
Giorgi Kochorashvili,Levante,2,0,0,0,0
Kenan Kodro,Athletic Club,364,1,0,0,0
Koke,Atletico Madrid,2698,4,5,5,0
Geoffrey Kondogbia,Valencia,1807,1,1,5,0
Jules Kounde,Sevilla,2309,1,1,6,0
Leonardo Koutris,Mallorca,93,0,0,0,0
Ismail Koybasi,Granada,231,0,0,1,0
Toni Kroos,Real Madrid,2652,4,5,2,0
Takefusa Kubo,Mallorca,2312,4,4,4,0
Victor Laguardia,Alaves,2654,1,2,9,1
Diego Lainez,Betis,348,0,0,0,0
Larra,Athletic Club,250,0,0,0,0
Toni Lato,Osasuna,470,1,0,3,0
Robin Le Normand,Real Sociedad,2394,1,0,6,0
Wu Lei,Espanyol,1719,4,0,3,0
Inhigo Lekue,Athletic Club,623,0,1,0,0
Thomas Lemar,Atletico Madrid,925,0,0,2,0
Clement Lenglet,Barcelona,2424,2,1,11,2
Pedro Leon,Eibar,1896,1,2,4,0
Sergio Leon,Levante,672,1,0,2,0
Lillo,Osasuna,195,0,0,2,0
Diego Llorente,Real Sociedad,2327,1,1,7,1
Marcos Llorente,Atletico Madrid,1368,3,3,4,0
Stanislav Lobotka,Celta Vigo,1383,0,0,1,0
Renan Lodi,Atletico Madrid,2396,1,2,6,1
Rony Lopes,Sevilla,134,0,0,0,0
Adrian Lopez,Osasuna,1443,2,0,0,0
David Lopez,Espanyol,2455,4,2,5,1
Diego Lopez,Espanyol,3232,0,0,5,1
Javi Lopez,Alaves,90,0,0,0,0
Javi Lopez,Espanyol,1384,0,0,5,1
Lluis Lopez,Espanyol,300,0,0,1,0
Roberto Lopez,Real Sociedad,24,0,1,0,0
Unai Lopez,Athletic Club,1787,1,4,6,0
Iker Losada,Celta Vigo,13,1,0,0,0
Pol Lozano,Espanyol,173,0,0,0,1
Jose Luis Gaya,Valencia,1988,0,1,5,0
Jose Luis Morales,Levante,2519,4,2,3,0
Jose Luis Rodriguez,Alaves,22,0,0,0,0
Darwin Machis,Granada,2129,7,5,5,0
Lisandro Magallan,Alaves,1197,1,1,4,0
Abdallahi Mahmoud,Alaves,152,0,0,1,0
Nemanja Maksimovic,Getafe,2895,2,0,5,0
Hugo Mallo,Celta Vigo,1965,0,1,7,0
Aissa Mandi,Betis,2576,0,0,9,0
Eliaquim Mangala,Valencia,673,0,0,3,1
Marcelo,Real Madrid,1296,1,2,2,0
Oscar de Marcos,Athletic Club,541,0,1,1,0
Miguel Mari,Eibar,6,0,0,0,0
Jose Maria Gimenez,Atletico Madrid,1755,0,0,2,0
Mariano,Real Madrid,45,1,0,1,0
Adrian Marin,Alaves,852,0,0,1,0
Guillermo Maripan,Alaves,90,0,0,0,0
Roger Marti,Levante,2267,11,1,6,1
Daniel Martin,Betis,531,0,0,0,0
Alex Martinez,Granada,15,0,0,1,0
Inhigo Martinez,Athletic Club,2970,1,1,10,0
Javi Martinez,Osasuna,10,0,0,0,0
Pablo Martinez,Levante,33,0,0,0,0
Jordi Masip,Valladolid,3150,0,0,2,0
Jaime Mata,Getafe,2747,11,3,14,0
Borja Mayoral,Levante,2140,8,2,2,0
Oscar Melendo,Espanyol,1115,0,0,0,0
Gonzalo Melero,Levante,1236,2,1,4,0
Arthur Melo,Barcelona,1182,3,3,1,0
Brais Mendez,Celta Vigo,1477,0,2,4,0
Edgar Mendez,Alaves,864,1,0,3,0
Ferland Mendy,Real Madrid,1809,1,3,8,1
